PlotID,Ass_1,Conf_1,Ass_2,Conf_2,NBR,ctry
57,1,h,1,h,1,cambodia
161,0,h,0,h,0,cambodia
46,1,l,1,l,1,cambodia
154,0,h,0,h,0,cambodia
143,0,h,0,h,0,cambodia
152,0,h,0,h,0,cambodia
203,1,l,1,l,0,cambodia
112,1,l,1,l,1,cambodia
16,0,h,0,h,1,cambodia
120,0,l,1,l,1,cambodia
147,1,l,1,l,0,cambodia
64,1,l,1,l,1,cambodia
221,1,l,1,l,0,cambodia
233,1,l,0,l,0,cambodia
45,1,l,1,l,1,cambodia
105,1,h,1,h,1,cambodia
139,0,h,0,h,0,cambodia
194,0,h,0,h,0,cambodia
135,0,l,0,h,0,cambodia
1,0,l,0,l,1,cambodia
140,1,l,1,h,0,cambodia
142,0,l,0,h,0,cambodia
195,0,h,0,h,0,cambodia
192,0,l,0,h,0,cambodia
12,1,l,1,l,1,cambodia
185,0,h,0,h,0,cambodia
223,1,l,1,h,0,cambodia
205,0,l,0,l,0,cambodia
31,1,h,1,h,1,cambodia
53,1,h,1,h,1,cambodia
170,1,l,0,l,0,cambodia
184,1,h,1,l,0,cambodia
231,0,h,0,h,0,cambodia
219,0,h,0,h,0,cambodia
188,0,h,0,h,0,cambodia
14,1,h,1,h,1,cambodia
102,1,h,1,h,1,cambodia
191,0,h,0,h,0,cambodia
169,1,l,1,h,0,cambodia
40,1,h,1,h,1,cambodia
157,0,h,0,h,0,cambodia
138,0,h,0,h,0,cambodia
107,0,h,1,l,1,cambodia
201,0,l,1,l,0,cambodia
86,1,h,1,h,1,cambodia
13,1,h,1,h,1,cambodia
148,0,h,0,h,0,cambodia
158,0,l,0,h,0,cambodia
38,1,h,1,h,1,cambodia
183,1,l,1,l,0,cambodia
204,0,h,0,h,0,cambodia
19,1,l,1,h,1,cambodia
178,0,h,0,h,0,cambodia
84,1,h,1,h,1,cambodia
115,1,h,1,h,1,cambodia
187,0,h,0,h,0,cambodia
37,0,l,0,l,1,cambodia
171,1,l,1,l,0,cambodia
145,0,h,0,h,0,cambodia
99,1,l,1,h,1,cambodia
186,0,h,0,h,0,cambodia
85,1,h,1,h,1,cambodia
49,0,h,0,h,1,cambodia
165,0,h,0,h,0,cambodia
176,1,l,1,l,0,cambodia
28,1,h,1,h,1,cambodia
69,0,h,0,l,1,cambodia
208,1,l,1,l,0,cambodia
122,0,h,0,h,0,cambodia
164,1,h,1,h,0,cambodia
109,1,h,1,h,1,cambodia
210,1,h,0,h,0,cambodia
36,1,h,1,h,1,cambodia
198,1,h,0,l,0,cambodia
153,0,h,0,h,0,cambodia
141,0,l,0,l,0,cambodia
202,1,l,1,l,0,cambodia
24,1,h,1,l,1,cambodia
173,0,h,0,h,0,cambodia
181,1,l,1,l,0,cambodia
130,0,l,0,l,0,cambodia
118,1,h,1,h,1,cambodia
4,1,h,1,h,1,cambodia
7,1,h,1,h,1,cambodia
155,1,h,1,h,0,cambodia
81,1,h,1,h,1,cambodia
126,0,l,0,l,0,cambodia
52,0,l,1,l,1,cambodia
88,1,h,1,h,1,cambodia
60,1,h,1,h,1,cambodia
2,1,h,1,l,1,cambodia
77,1,h,1,h,1,cambodia
8,1,h,1,h,1,cambodia
160,0,h,0,h,0,cambodia
10,0,l,1,h,1,cambodia
79,1,h,1,h,1,cambodia
159,0,h,0,h,0,cambodia
166,0,h,0,h,0,cambodia
23,1,l,1,h,1,cambodia
110,1,h,1,h,1,cambodia
211,0,h,0,h,0,cambodia
172,0,h,0,h,0,cambodia
98,1,h,1,h,1,cambodia
33,1,l,1,l,1,cambodia
189,0,h,0,h,0,cambodia
177,0,h,0,h,0,cambodia
240,0,l,0,h,0,cambodia
121,0,h,0,l,0,cambodia
216,0,h,0,h,0,cambodia
50,1,l,1,l,1,cambodia
76,1,h,1,h,1,cambodia
94,1,h,1,h,1,cambodia
137,0,h,0,h,0,cambodia
133,0,h,0,h,0,cambodia
179,0,h,0,h,0,cambodia
206,0,h,0,h,0,cambodia
124,0,h,0,h,0,cambodia
83,1,h,1,h,1,cambodia
234,0,h,0,h,0,cambodia
163,0,h,0,h,0,cambodia
51,1,h,1,l,1,cambodia
11,1,h,1,h,1,cambodia
146,0,h,1,l,0,cambodia
55,1,h,1,h,1,cambodia
232,0,h,0,h,0,cambodia
117,1,h,1,h,1,cambodia
41,1,h,1,h,1,cambodia
48,1,h,1,h,1,cambodia
43,1,l,1,l,1,cambodia
89,1,h,1,h,1,cambodia
47,0,h,0,l,1,cambodia
229,0,h,0,h,0,cambodia
127,1,l,1,l,0,cambodia
73,1,h,1,h,1,cambodia
213,1,l,1,l,0,cambodia
199,0,h,0,h,0,cambodia
72,1,l,1,l,1,cambodia
93,1,h,1,h,1,cambodia
67,1,h,1,h,1,cambodia
225,0,h,0,h,0,cambodia
15,1,h,1,h,1,cambodia
3,0,h,0,h,1,cambodia
180,0,h,0,l,0,cambodia
39,1,h,1,h,1,cambodia
132,1,l,0,h,0,cambodia
217,0,h,0,h,0,cambodia
134,0,h,0,h,0,cambodia
236,0,h,0,h,0,cambodia
235,1,l,0,l,0,cambodia
54,1,h,1,h,1,cambodia
56,1,l,1,h,1,cambodia
32,0,h,0,h,1,cambodia
42,1,h,1,h,1,cambodia
44,1,h,1,h,1,cambodia
66,1,h,1,h,1,cambodia
74,1,h,1,h,1,cambodia
215,0,h,0,h,0,cambodia
193,0,l,0,l,0,cambodia
58,1,l,1,h,1,cambodia
190,0,h,0,h,0,cambodia
62,1,h,1,l,1,cambodia
207,1,l,1,l,0,cambodia
21,1,h,1,h,1,cambodia
17,1,h,1,l,1,cambodia
238,0,l,0,h,0,cambodia
227,0,h,0,h,0,cambodia
128,0,l,0,h,0,cambodia
95,1,h,1,h,1,cambodia
30,1,l,1,h,1,cambodia
106,0,h,1,l,1,cambodia
101,1,h,1,h,1,cambodia
22,1,h,1,h,1,cambodia
6,0,h,0,l,1,cambodia
209,0,h,0,l,0,cambodia
26,1,h,1,h,1,cambodia
196,1,h,1,h,0,cambodia
175,0,h,0,h,0,cambodia
34,1,h,1,h,1,cambodia
228,0,h,0,h,0,cambodia
237,0,h,0,h,0,cambodia
136,1,h,0,h,0,cambodia
104,0,h,0,h,1,cambodia
5,1,h,1,h,1,cambodia
61,1,h,1,h,1,cambodia
80,1,h,1,h,1,cambodia
